gazetteerId_村志代码,villageInnerId_村庄内部代码,countyDistrictId_县或区代码,cityId_市代码,provinceId_省代码
1,1,496,178,18
2,2,546,112,21
3,3,159,217,25
4,4,443,31,13
5,5,154,20,17
6,6,18,190,17
7,7,516,78,17
8,8,485,156,2
9,9,27,190,17
10,10,265,27,4
11,11,6,6,12
12,12,251,153,17
13,13,13,27,4
14,14,271,61,18
15,15,230,27,4
16,16,400,131,12
17,17,255,27,4
18,18,339,142,10
19,19,138,4,1
20,20,125,27,4
21,21,230,27,4
22,22,149,120,10
23,23,204,32,24
24,24,168,131,12
25,25,209,180,25
26,26,466,31,13
27,27,134,1,20
28,28,300,219,24
29,29,395,111,28
30,30,447,62,25
31,31,48,153,17
32,32,498,4,1
33,33,453,153,17
34,34,40,204,5
35,35,105,35,24
36,36,295,71,15
37,37,482,65,28
38,38,547,116,17
39,39,185,4,1
40,40,296,72,22
41,41,364,140,20
42,42,498,4,1
43,43,337,27,4
44,44,357,61,18
45,45,528,83,23
46,46,NULL,52,26
47,47,138,4,1
48,48,13,27,4
49,49,410,157,19
50,50,399,154,24
51,51,236,95,12
52,52,NULL,52,26
53,53,295,71,15
54,54,314,61,18
55,55,257,154,24
56,56,133,74,12
57,57,61,175,21
58,58,NULL,52,26
59,59,143,143,18
60,60,90,18,12
61,61,86,20,17
62,62,439,112,21
63,63,271,61,18
64,64,13,27,4
65,65,218,27,4
66,66,230,27,4
67,67,302,191,17
68,68,81,216,25
69,69,266,177,28
70,70,381,208,11
71,71,NULL,52,26
72,72,433,105,19
73,73,175,139,10
74,74,255,27,4
75,75,194,163,15
76,76,125,27,4
77,77,NULL,52,26
78,78,NULL,52,26
79,79,558,132,19
80,80,266,177,28
81,81,415,120,10
82,82,291,206,11
83,83,503,101,11
84,84,477,117,13
85,85,65,181,13
86,86,412,66,9
87,87,412,66,9
88,88,332,54,7
89,89,3,54,7
90,90,373,145,13
91,91,161,99,2
92,92,374,117,13
93,93,83,54,7
94,94,317,101,11
95,95,409,122,6
96,96,448,54,7
97,97,434,91,6
98,98,161,99,2
99,99,129,51,2
100,100,213,48,8
101,101,274,107,13
102,102,274,107,13
103,103,274,107,13
104,104,274,107,13
105,105,274,107,13
106,106,274,107,13
107,107,274,107,13
108,108,274,107,13
109,109,274,107,13
110,110,274,107,13
111,111,274,107,13
112,112,274,107,13
113,113,285,24,23
114,114,420,11,10
115,115,455,157,19
116,116,37,189,25
117,117,264,158,31
118,118,479,196,21
119,119,269,165,21
120,120,427,43,3
121,121,364,140,20
123,123,371,215,31
124,124,306,24,23
125,125,225,82,22
126,126,364,140,20
127,127,35,127,29
128,128,310,174,19
129,129,35,127,29
130,130,214,127,29
131,131,514,23,9
132,132,267,209,10
133,133,83,54,7
134,134,507,48,8
135,135,118,26,3
136,136,32,1,20
137,137,76,136,22
138,138,499,186,11
139,139,488,216,25
140,140,488,216,25
141,141,407,184,3
142,142,298,201,8
143,143,375,80,5
144,144,412,66,9
145,145,557,91,6
146,146,193,70,6
147,147,289,214,9
148,148,114,44,3
149,149,121,176,29
150,150,384,150,15
151,151,539,153,17
152,152,401,128,20
153,153,376,183,16
154,154,476,28,21
156,156,394,113,22
157,157,321,197,27
158,158,479,196,21
159,159,511,177,28
160,160,122,176,29
161,161,489,216,25
162,162,488,216,25
163,163,246,211,30
164,164,297,83,23
165,165,140,5,16
166,166,3,54,7
167,167,241,44,3
168,168,144,184,3
169,169,15,37,5
170,170,121,176,29
171,171,167,64,21
172,172,528,83,23
173,173,200,75,6
174,174,7,198,19
176,176,106,41,8
177,177,444,99,2
178,178,83,54,7
179,179,231,69,13
180,180,145,144,31
181,181,397,18,12
183,183,547,116,17
184,184,47,153,17
185,185,401,128,20
186,186,554,136,22
187,187,456,97,18
188,188,541,137,12
189,189,237,78,17
190,190,338,155,17
191,191,168,131,12
192,192,266,177,28
193,193,102,115,12
194,194,270,14,19
195,195,129,51,2
196,196,411,111,28
197,197,318,206,11
198,198,347,111,28
199,199,194,163,15
200,200,511,177,28
201,201,210,163,15
203,203,170,27,4
204,204,462,146,2
205,205,137,16,6
206,206,129,51,2
207,207,249,91,6
208,208,227,91,6
209,209,161,99,2
210,210,311,146,2
211,211,250,21,2
212,212,349,91,6
213,213,184,91,6
214,214,161,99,2
215,215,187,99,2
216,216,478,91,6
217,217,98,91,6
218,218,498,4,1
219,219,67,89,2
220,220,485,156,2
221,221,138,4,1
222,222,337,27,4
223,223,284,110,2
224,224,219,27,4
225,225,388,27,4
226,226,130,50,2
227,227,125,27,4
228,228,334,4,1
229,229,187,99,2
230,230,334,4,1
231,231,334,4,1
232,232,13,27,4
233,233,133,76,12
234,234,6,6,12
235,235,254,21,2
236,236,523,27,4
238,238,334,4,1
239,239,389,99,2
241,241,265,27,4
242,242,484,4,1
243,243,230,27,4
244,244,138,4,1
245,245,33,132,19
246,246,484,4,1
247,247,484,4,1
248,248,461,27,4
249,249,498,4,1
250,250,484,4,1
251,251,80,51,2
252,252,230,27,4
253,253,518,4,1
254,254,484,4,1
255,255,484,4,1
256,256,230,27,4
257,257,498,4,1
258,258,161,99,2
259,259,67,89,2
260,260,116,4,1
261,261,189,100,11
262,262,6,6,12
263,263,457,153,17
264,264,527,154,24
265,265,292,191,17
266,266,550,72,22
267,267,522,133,28
268,268,104,123,18
269,269,2,219,24
270,270,68,198,19
271,271,103,133,28
272,272,150,149,22
273,273,500,154,24
274,274,168,131,12
275,275,NULL,52,26
276,276,NULL,52,26
277,277,430,209,10
278,278,273,157,19
279,279,463,63,23
280,280,469,191,17
281,281,279,104,26
282,282,29,198,19
283,283,340,191,17
285,285,6,6,12
286,286,13,27,4
287,287,484,4,1
288,288,296,72,22
289,289,459,154,24
290,290,205,103,26
291,291,553,142,10
292,292,505,3,18
293,293,152,79,28
294,294,391,177,28
295,295,196,209,10
296,296,472,138,10
297,297,322,190,17
298,298,395,111,28
299,299,501,207,26
300,300,537,191,17
301,301,335,198,19
302,302,529,139,10
303,303,73,151,26
304,304,527,154,24
305,305,470,84,15
306,306,422,108,22
307,307,451,59,19
309,309,111,163,15
310,310,426,11,10
312,312,131,2,24
313,313,216,86,10
314,314,133,76,12
315,315,486,193,18
316,316,132,124,10
317,317,107,19,31
318,318,8,159,10
319,319,445,34,18
320,320,441,173,22
321,321,248,192,22
322,322,179,2,24
323,323,452,84,15
324,324,345,42,18
325,325,368,3,18
326,326,273,157,19
327,327,77,13,26
329,329,NULL,52,26
330,330,75,103,26
331,331,545,76,12
332,332,312,105,19
333,333,266,177,28
334,334,109,163,15
335,335,363,133,28
336,336,370,100,11
337,337,210,163,15
338,338,481,39,14
339,339,229,177,28
340,340,207,150,15
341,341,142,40,11
342,342,NULL,52,26
343,343,199,100,11
344,344,194,163,15
345,345,495,206,11
346,346,84,141,18
347,347,265,27,4
348,348,433,105,19
349,349,385,171,26
350,350,70,121,15
351,351,411,111,28
352,352,108,68,22
353,353,50,40,11
354,354,310,174,19
355,355,322,190,17
356,356,367,3,18
357,357,473,208,11
358,358,18,190,17
359,359,133,76,12
360,360,525,18,12
361,361,6,6,12
362,362,133,76,12
363,363,133,76,12
364,364,6,6,12
365,365,133,76,12
366,366,79,97,18
367,367,168,131,12
368,368,6,6,12
369,369,79,97,18
370,370,242,123,18
371,371,456,97,18
372,372,63,143,18
373,373,194,163,15
374,374,313,98,15
375,375,295,71,15
376,376,117,78,17
377,377,539,153,17
378,378,423,165,21
379,379,360,98,15
380,380,142,40,11
381,381,431,20,17
382,382,277,179,13
383,383,132,124,10
384,384,522,133,28
385,385,229,177,28
386,386,395,111,28
387,387,85,131,12
388,388,NULL,52,26
389,389,180,10,11
390,390,446,77,23
391,391,295,71,15
392,392,113,177,28
393,393,265,27,4
394,394,380,76,12
395,395,198,154,24
396,396,435,113,22
397,397,287,124,10
398,398,38,10,11
399,399,543,76,12
400,400,299,82,22
401,401,25,191,17
402,402,194,163,15
404,404,542,88,22
405,405,330,101,11
406,406,244,84,15
407,407,425,193,18
408,408,326,186,11
409,409,244,84,15
411,411,520,31,13
412,412,175,139,10
413,413,297,83,23
414,414,285,24,23
415,415,454,153,17
416,416,433,105,19
417,417,123,76,12
418,418,231,69,13
419,419,405,193,18
420,420,89,134,19
421,421,399,154,24
422,422,13,27,4
423,423,265,27,4
424,424,268,46,28
425,425,295,71,15
427,427,131,2,24
428,428,378,83,23
429,429,443,31,13
430,430,328,116,17
431,431,NULL,52,26
432,432,341,56,22
433,433,536,129,10
434,434,142,40,11
435,435,NULL,52,26
436,436,168,131,12
437,437,297,83,23
438,438,226,59,19
439,439,503,101,11
440,440,266,177,28
441,441,41,84,15
442,442,NULL,52,26
443,443,135,202,26
444,444,252,163,15
445,445,451,59,19
446,446,26,186,11
447,447,378,83,23
448,448,410,157,19
449,449,343,129,10
450,450,259,55,11
451,451,168,131,12
452,452,258,119,24
453,453,202,7,10
454,454,430,209,10
455,455,343,129,10
456,456,323,166,21
457,457,12,47,17
458,458,222,180,25
459,459,415,120,10
460,460,505,3,18
461,461,419,76,12
462,462,133,76,12
463,463,82,194,22
464,464,377,132,19
465,465,7,198,19
466,466,10,8,12
467,467,143,143,18
468,468,124,206,11
470,470,443,31,13
471,471,316,40,11
472,472,467,92,15
473,473,280,153,17
474,474,19,9,23
475,475,97,124,10
476,476,257,154,24
477,477,8,159,10
478,478,471,192,22
479,479,487,210,26
480,480,109,163,15
481,481,270,14,19
482,482,174,105,19
483,483,76,136,22
484,484,395,111,28
485,485,494,205,22
486,486,73,151,26
487,487,79,97,18
488,488,442,10,11
489,489,486,193,18
490,490,258,119,24
491,491,243,157,19
492,492,233,94,26
493,493,22,83,23
494,494,36,159,10
495,495,26,186,11
496,496,10,8,12
497,497,190,193,18
498,498,291,206,11
499,499,480,59,19
500,500,522,133,11
501,501,500,154,24
502,502,322,190,17
503,503,48,153,17
504,504,453,153,17
505,505,460,45,21
506,506,6,6,12
507,507,57,59,19
508,508,305,186,11
509,509,390,60,28
510,510,405,193,18
511,511,428,142,10
512,512,348,143,18
513,513,479,196,21
514,514,31,3,18
515,515,499,186,11
516,516,68,198,19
517,517,486,193,18
518,518,133,76,12
519,519,62,180,25
520,520,NULL,52,26
521,521,53,167,24
522,522,486,193,18
523,523,371,215,31
524,524,192,197,27
525,525,172,218,31
526,526,301,197,27
527,527,353,169,16
528,528,148,183,16
529,529,474,193,18
530,530,508,148,13
531,531,479,196,21
532,532,191,197,27
533,533,30,200,9
534,534,387,130,9
535,535,261,217,25
536,536,332,54,7
537,537,220,90,21
538,538,488,216,25
539,539,479,196,21
540,540,512,205,22
541,541,249,91,6
542,542,88,70,6
543,543,21,194,22
544,544,158,57,21
545,545,448,54,7
546,546,448,54,7
547,547,176,188,6
548,548,51,166,21
549,549,437,30,6
550,550,489,216,25
551,551,355,135,22
552,552,468,91,6
553,553,34,182,6
554,554,119,67,9
555,555,354,135,22
556,556,289,214,9
557,557,87,33,16
558,558,355,135,22
559,559,278,72,22
560,560,544,216,25
561,561,241,44,3
562,562,418,162,9
563,563,408,189,25
564,564,479,196,21
565,565,448,54,7
566,566,22,83,23
567,567,372,64,21
568,568,364,140,20
569,569,289,214,9
570,570,438,188,6
571,571,408,189,25
572,572,412,66,9
573,573,465,113,22
574,574,289,214,9
575,575,402,53,23
576,576,540,53,23
577,577,66,165,21
578,578,479,196,21
579,579,352,17,16
580,580,293,54,7
581,581,54,30,6
582,582,78,12,2
583,583,245,113,22
584,584,91,30,6
585,585,139,25,6
586,586,278,72,22
587,587,329,122,6
588,588,329,122,6
589,589,432,30,6
590,590,494,205,22
591,591,161,99,2
592,592,444,99,2
593,593,396,51,2
594,594,80,51,2
595,595,161,99,2
596,596,444,99,2
597,597,519,152,6
598,598,46,16,6
599,599,404,182,6
600,600,468,91,6
601,601,549,216,25
602,602,549,216,25
603,603,394,113,22
604,604,1,5,16
605,605,398,142,10
606,606,95,209,10
607,607,127,10,11
608,608,NULL,52,26
609,609,484,4,1
610,610,484,4,1
611,611,334,4,1
612,612,295,71,15
613,613,334,4,1
614,614,334,4,1
615,615,510,10,11
616,616,504,49,11
617,617,473,206,11
618,618,169,92,15
619,619,116,4,1
620,620,210,163,15
621,621,412,66,9
622,622,5,13,26
623,623,230,27,4
624,624,5,13,26
625,625,334,4,1
626,626,417,161,6
627,627,28,203,15
628,628,514,23,9
629,629,183,209,10
630,630,73,151,26
631,631,53,167,24
632,632,4,120,10
633,633,334,4,1
634,634,399,154,24
635,635,522,133,28
636,636,399,154,24
637,637,113,177,28
638,638,470,84,15
639,639,215,119,24
640,640,526,32,24
641,641,484,4,1
642,642,424,167,24
643,643,23,129,10
644,644,252,163,15
645,645,416,21,2
646,646,100,15,2
647,647,211,156,2
648,648,162,99,2
650,650,161,99,2
651,651,444,99,2
652,652,188,51,2
653,653,303,198,19
654,654,164,98,15
655,655,226,59,19
656,656,117,78,17
658,658,161,99,2
659,659,254,21,2
660,660,161,99,2
662,662,230,27,4
663,663,415,120,10
664,664,337,27,4
665,665,180,10,11
666,666,208,32,24
667,667,17,40,11
668,668,255,27,4
669,669,146,54,7
670,670,125,27,4
671,671,77,13,26
672,672,NULL,52,26
673,673,320,2,24
674,674,7,198,19
675,675,515,58,24
676,676,72,46,28
677,677,472,138,10
678,678,365,141,18
679,679,319,143,18
680,680,531,101,11
681,681,13,27,4
682,682,291,206,11
683,683,266,177,28
684,684,479,196,21
685,685,486,193,18
686,686,456,97,18
687,687,288,111,28
688,688,551,84,15
689,689,154,20,17
690,690,256,100,11
691,691,523,27,4
692,692,14,93,17
693,693,93,129,10
694,694,482,65,28
695,695,461,27,4
696,696,330,101,11
697,697,255,27,4
698,698,368,3,18
699,699,190,193,18
700,700,151,134,19
701,701,131,2,24
702,702,317,101,11
703,703,295,71,15
704,704,474,193,18
705,705,97,124,10
706,706,183,209,10
707,707,295,71,15
708,708,313,98,15
709,709,433,105,19
710,710,68,198,19
711,711,469,191,17
712,712,430,209,10
713,713,255,27,4
714,714,52,154,24
715,715,265,27,4
716,716,258,119,24
718,718,304,119,24
719,719,440,58,24
720,720,203,111,28
721,721,395,111,28
722,722,206,105,19
723,723,343,129,10
724,724,351,65,28
725,725,183,209,10
726,726,96,124,10
727,727,530,164,12
728,728,97,124,10
729,729,334,4,1
730,730,484,4,1
731,731,411,111,28
732,732,282,85,2
733,733,334,4,1
734,734,69,217,25
735,735,210,163,15
736,736,255,27,4
737,737,343,129,10
738,738,142,40,11
739,739,252,163,15
740,740,252,163,15
741,741,326,186,11
742,742,229,177,28
743,743,239,40,11
744,744,129,51,2
745,745,366,187,15
746,746,419,76,12
747,747,548,206,11
748,748,334,4,1
749,749,166,99,2
750,750,221,70,6
751,751,416,21,2
752,752,153,182,6
753,753,197,70,6
754,754,173,102,2
755,755,161,99,2
756,756,351,65,28
757,757,103,133,28
758,758,288,111,28
759,759,511,177,28
760,760,42,99,2
761,761,28,203,15
762,762,28,203,15
763,763,334,4,1
764,764,334,4,1
765,765,295,71,15
766,766,295,71,15
767,767,28,203,15
768,768,484,4,1
769,769,484,4,1
770,770,10,8,12
771,771,133,76,12
772,772,138,4,1
773,773,101,58,24
774,774,218,27,4
775,775,265,27,4
776,776,234,142,10
777,777,398,142,10
778,778,395,111,28
779,779,133,76,12
780,780,393,100,11
781,781,228,168,10
782,782,183,209,10
783,783,339,142,10
784,784,133,76,12
785,785,330,101,11
786,786,69,217,25
787,787,327,119,24
788,788,419,76,12
789,789,247,219,24
790,790,334,4,1
791,791,309,59,19
792,792,178,55,11
793,793,265,27,4
794,794,265,27,4
795,795,337,27,4
796,796,411,111,28
797,797,142,40,11
798,798,6,6,12
799,799,337,27,4
800,800,6,6,12
801,801,334,4,1
802,802,99,10,11
803,803,255,27,4
804,804,495,206,11
805,805,218,27,4
806,806,20,105,19
807,807,484,4,1
808,808,484,4,1
809,809,395,111,28
810,810,266,177,28
811,811,240,153,17
812,812,509,21,2
813,813,379,193,18
814,814,308,73,18
815,815,254,21,2
816,816,444,99,2
818,818,308,73,18
819,819,539,153,17
820,820,410,157,19
821,821,369,153,17
822,822,84,141,18
823,823,168,131,12
824,824,55,116,17
825,825,71,109,12
826,826,271,61,18
827,827,334,4,1
828,828,281,153,17
829,829,6,6,12
830,830,6,6,12
831,831,334,4,1
832,832,11,193,18
833,833,484,4,1
834,834,484,4,1
835,835,74,61,18
836,836,555,118,12
839,839,33,132,19
840,840,283,109,12
841,841,539,153,17
842,842,304,119,24
843,843,464,14,19
844,844,161,99,2
845,845,436,177,28
846,846,395,111,28
847,847,141,111,28
848,848,539,153,17
849,849,556,14,19
850,850,484,4,1
851,851,535,153,17
852,852,539,153,17
853,853,186,157,19
854,854,397,18,12
855,855,6,6,12
856,856,265,27,4
857,857,24,133,28
858,858,229,177,28
859,859,13,27,4
860,860,486,193,18
861,861,210,163,15
862,862,328,116,17
863,863,308,73,18
864,864,458,195,3
865,865,195,208,11
866,866,403,20,17
867,867,539,153,17
868,868,155,170,16
869,869,256,100,11
870,870,370,100,11
871,871,513,23,9
872,872,313,98,15
873,873,412,66,9
874,874,160,185,26
875,875,444,99,2
876,876,351,65,28
877,877,120,176,29
878,878,421,28,21
879,879,210,163,15
880,880,210,163,15
881,881,464,14,19
882,882,307,38,22
883,883,45,64,21
884,884,136,64,21
885,885,289,214,9
886,886,483,23,9
887,887,480,59,19
888,888,59,111,28
889,889,486,193,18
890,890,343,129,10
891,891,522,133,28
892,892,442,10,11
893,893,410,157,19
894,894,419,76,12
895,895,164,98,15
896,896,183,209,10
897,897,220,90,21
898,898,504,49,11
899,899,550,72,22
900,900,210,163,15
901,901,480,59,19
902,902,59,111,28
903,903,59,111,28
904,904,16,109,12
905,905,23,129,10
906,906,484,4,1
907,907,232,147,5
908,908,555,114,12
909,909,202,7,10
910,910,336,187,15
911,911,395,111,28
912,912,109,163,15
913,913,183,209,10
914,914,290,153,17
915,915,47,153,17
916,916,82,194,22
917,917,168,131,12
918,918,521,54,7
919,919,116,4,1
920,920,484,4,1
921,921,10,8,12
922,922,484,4,1
923,923,469,191,17
924,924,368,3,18
925,925,171,133,28
926,926,325,7,10
927,927,138,4,1
928,928,168,131,12
929,929,522,133,28
930,930,92,138,10
931,931,517,116,17
932,932,552,86,10
933,933,117,78,17
934,934,47,153,17
935,935,330,101,11
936,936,484,4,1
937,937,383,186,11
938,938,260,95,12
939,939,358,106,10
940,940,263,125,10
941,941,498,4,1
942,942,339,142,10
943,943,163,87,11
944,944,318,206,11
945,945,346,55,11
946,946,334,4,1
947,947,265,27,4
949,949,472,138,10
950,950,112,129,10
951,951,413,10,11
952,952,548,206,11
953,953,342,167,24
954,954,97,124,10
955,955,168,131,12
956,956,548,206,11
957,957,531,101,11
958,958,163,87,11
959,959,6,6,12
960,960,419,76,12
961,961,276,153,17
962,962,133,76,12
963,963,496,178,18
964,964,286,111,28
965,965,115,22,18
966,966,531,101,11
967,967,157,61,18
968,968,103,133,28
969,969,511,177,28
970,970,490,134,15
971,971,411,111,28
972,972,503,101,10
974,974,109,163,15
975,975,474,193,18
976,976,79,97,18
977,977,255,27,4
978,978,265,27,4
979,979,13,27,4
980,980,13,27,4
981,981,262,172,17
982,982,230,27,4
983,983,252,163,15
984,984,506,192,22
986,986,275,142,10
987,987,223,98,15
988,988,79,97,18
989,989,484,4,1
990,990,497,27,4
991,991,210,163,15
992,992,64,153,17
993,993,2,219,24
994,994,272,64,21
995,995,486,193,18
996,996,128,161,6
997,997,532,193,18
998,998,361,139,10
999,999,181,214,9
1000,1000,532,193,18
1002,1002,469,191,17
1003,1003,79,97,18
1004,1004,533,29,15
1005,1005,212,91,6
1006,1006,156,36,16
1007,1007,238,96,2
1008,1008,539,153,17
1009,1009,104,123,18
1010,1010,405,193,18
1011,1011,414,123,18
1012,1012,109,163,15
1013,1013,324,116,17
1014,1014,356,88,22
1015,1015,474,193,18
1016,1016,248,192,22
1017,1017,109,163,15
1018,1018,248,192,22
1019,1019,343,129,10
1020,1020,149,120,10
1021,1021,514,23,9
1022,1022,539,153,17
1023,1023,129,51,2
1024,1024,210,163,15
1025,1025,218,27,4
1026,1026,538,153,17
1027,1027,412,66,9
1028,1028,543,76,12
1030,1030,210,163,15
1031,1031,344,212,18
1032,1032,210,163,15
1033,1033,123,76,12
1034,1034,539,153,17
1035,1035,183,209,10
1036,1036,484,4,1
1037,1037,161,99,2
1038,1038,524,20,17
1039,1039,496,178,18
1040,1040,109,163,15
1041,1041,265,27,4
1042,1042,413,10,11
1043,1043,265,27,4
1044,1044,6,6,12
1045,1045,495,208,11
1046,1046,484,4,1
1047,1047,199,100,11
1048,1048,442,10,11
1049,1049,484,4,1
1050,1050,218,27,4
1051,1051,49,40,11
1052,1052,484,4,1
1053,1053,265,27,4
1054,1054,334,4,1
1055,1055,334,4,1
1056,1056,484,4,1
1057,1057,60,10,11
1058,1058,126,78,17
1059,1059,502,81,17
1060,1060,133,76,12
1061,1061,133,76,12
1062,1062,315,10,11
1063,1063,60,10,11
1064,1064,539,153,17
1065,1065,47,153,17
1066,1066,6,6,12
1067,1067,539,153,17
1068,1068,534,20,17
1069,1069,290,153,17
1070,1070,133,76,12
1071,1071,382,116,17
1073,1073,201,190,17
1074,1074,217,160,12
1075,1075,13,27,4
1076,1076,324,93,17
1077,1077,474,193,18
1078,1078,109,163,15
1079,1079,9,193,18
1080,1080,109,163,15
1081,1081,386,163,15
1082,1082,9,193,18
1083,1083,308,73,18
1084,1084,314,61,18
1085,1085,182,212,18
1086,1086,175,139,10
1087,1087,177,55,11
1088,1088,183,209,10
1089,1089,216,86,10
1090,1090,449,139,10
1091,1091,491,97,18
1093,1093,358,106,10
1094,1094,360,98,15
1095,1095,210,163,15
1096,1096,210,163,15
1097,1097,39,193,18
1098,1098,339,142,10
1099,1099,210,163,15
1100,1100,94,3,18
1101,1101,267,209,10
1102,1102,110,163,15
1103,1103,295,71,15
1104,1104,252,163,15
1105,1105,492,206,11
1106,1106,256,100,11
1107,1107,44,87,11
1108,1108,381,208,11
1109,1109,504,49,11
1110,1110,195,208,11
1111,1111,60,10,11
1112,1112,317,101,11
1113,1113,330,101,11
1114,1114,406,87,11
1115,1115,442,10,11
1116,1116,56,125,10
1117,1117,538,153,17
1118,1118,117,78,17
1119,1119,255,27,4
1120,1120,429,142,10
1124,1124,125,27,4
1125,1125,125,27,4
1126,1126,333,126,18
1127,1127,532,193,18
1128,1128,308,73,18
1129,1129,223,98,15
1130,1130,539,153,17
1131,1131,484,4,1
1132,1132,346,55,11
1133,1133,362,206,11
1134,1134,180,10,11
1135,1135,548,206,11
1136,1136,450,157,19
1137,1137,370,100,11
1138,1138,380,76,12
1139,1139,294,213,21
1140,1140,224,193,18
1141,1141,337,27,4
1142,1142,497,27,4
1143,1143,475,168,10
1144,1144,357,61,18
1145,1145,291,206,11
1146,1146,531,101,11
1147,1147,505,3,18
1148,1148,531,101,11
1149,1149,90,18,12
1150,1150,43,109,12
1151,1151,392,34,18
1152,1152,28,203,15
1153,1153,324,116,17
1154,1154,224,193,18
1155,1155,94,3,18
1156,1156,555,118,12
1157,1157,94,3,18
1158,1158,125,27,4
1159,1159,363,133,28
1160,1160,147,59,19
1161,1161,464,14,19
1162,1162,451,59,19
1163,1163,151,134,19
1164,1164,331,132,19
1165,1165,359,105,19
1166,1166,450,157,19
1167,1167,410,134,19
1168,1168,235,105,19
1169,1169,147,59,19
1170,1170,20,105,19
1171,1171,175,139,10
1172,1172,151,134,19
1173,1173,57,59,19
1174,1174,480,59,19
1175,1175,58,105,19
1176,1176,253,139,10
1177,1177,234,142,10
1178,1178,429,142,10
1179,1179,92,138,10
1180,1180,183,209,10
1181,1181,183,209,10
1182,1182,103,133,28
1183,1183,395,111,28
1184,1184,482,65,28
1185,1185,493,142,10
1186,1186,203,111,28
1187,1187,97,124,10
1188,1188,430,209,10
1190,1190,229,177,28
1191,1191,436,177,28
1192,1192,165,199,28
1193,1193,350,46,28
1195,1195,410,157,19
1196,1196,13,27,4
1197,1197,265,27,4
1198,1198,265,27,4
1199,1199,255,27,4
1200,1200,13,27,4
